#       R          P(R)      ERROR
#
  0.0000E+00  0.0000E+00  0.0000E+00
  0.7975E-01  0.2823E-01  0.5979E-03
  0.1595E+00  0.5938E-01  0.1004E-02
  0.2393E+00  0.9339E-01  0.1228E-02
  0.3190E+00  0.1301E+00  0.1290E-02
  0.3987E+00  0.1695E+00  0.1215E-02
  0.4785E+00  0.2112E+00  0.1036E-02
  0.5583E+00  0.2550E+00  0.8070E-03
  0.6380E+00  0.3006E+00  0.6232E-03
  0.7177E+00  0.3477E+00  0.6372E-03
  0.7975E+00  0.3959E+00  0.8586E-03
  0.8772E+00  0.4448E+00  0.1151E-02
  0.9570E+00  0.4940E+00  0.1430E-02
  0.1037E+01  0.5431E+00  0.1654E-02
  0.1117E+01  0.5915E+00  0.1804E-02
  0.1196E+01  0.6389E+00  0.1868E-02
  0.1276E+01  0.6848E+00  0.1849E-02
  0.1356E+01  0.7287E+00  0.1756E-02
  0.1435E+01  0.7702E+00  0.1610E-02
  0.1515E+01  0.8089E+00  0.1449E-02
  0.1595E+01  0.8444E+00  0.1327E-02
  0.1675E+01  0.8765E+00  0.1304E-02
  0.1754E+01  0.9047E+00  0.1406E-02
  0.1834E+01  0.9290E+00  0.1607E-02
  0.1914E+01  0.9490E+00  0.1852E-02
  0.1994E+01  0.9649E+00  0.2092E-02
  0.2074E+01  0.9764E+00  0.2293E-02
  0.2153E+01  0.9837E+00  0.2434E-02
  0.2233E+01  0.9868E+00  0.2502E-02
  0.2313E+01  0.9859E+00  0.2498E-02
  0.2393E+01  0.9812E+00  0.2429E-02
  0.2472E+01  0.9729E+00  0.2314E-02
  0.2552E+01  0.9615E+00  0.2183E-02
  0.2632E+01  0.9472E+00  0.2078E-02
  0.2712E+01  0.9304E+00  0.2041E-02
  0.2791E+01  0.9114E+00  0.2099E-02
  0.2871E+01  0.8908E+00  0.2250E-02
  0.2951E+01  0.8688E+00  0.2464E-02
  0.3030E+01  0.8458E+00  0.2701E-02
  0.3110E+01  0.8221E+00  0.2925E-02
  0.3190E+01  0.7982E+00  0.3106E-02
  0.3270E+01  0.7742E+00  0.3227E-02
  0.3349E+01  0.7505E+00  0.3277E-02
  0.3429E+01  0.7271E+00  0.3258E-02
  0.3509E+01  0.7043E+00  0.3178E-02
  0.3589E+01  0.6821E+00  0.3058E-02
  0.3668E+01  0.6606E+00  0.2927E-02
  0.3748E+01  0.6398E+00  0.2822E-02
  0.3828E+01  0.6197E+00  0.2778E-02
  0.3908E+01  0.6003E+00  0.2821E-02
  0.3988E+01  0.5814E+00  0.2951E-02
  0.4067E+01  0.5629E+00  0.3150E-02
  0.4147E+01  0.5449E+00  0.3382E-02
  0.4227E+01  0.5270E+00  0.3614E-02
  0.4306E+01  0.5094E+00  0.3816E-02
  0.4386E+01  0.4918E+00  0.3967E-02
  0.4466E+01  0.4741E+00  0.4055E-02
  0.4546E+01  0.4565E+00  0.4075E-02
  0.4625E+01  0.4387E+00  0.4031E-02
  0.4705E+01  0.4207E+00  0.3935E-02
  0.4785E+01  0.4027E+00  0.3807E-02
  0.4865E+01  0.3846E+00  0.3670E-02
  0.4944E+01  0.3665E+00  0.3551E-02
  0.5024E+01  0.3485E+00  0.3475E-02
  0.5104E+01  0.3306E+00  0.3458E-02
  0.5184E+01  0.3130E+00  0.3502E-02
  0.5264E+01  0.2958E+00  0.3599E-02
  0.5343E+01  0.2790E+00  0.3729E-02
  0.5423E+01  0.2628E+00  0.3871E-02
  0.5503E+01  0.2473E+00  0.4006E-02
  0.5583E+01  0.2325E+00  0.4122E-02
  0.5662E+01  0.2185E+00  0.4213E-02
  0.5742E+01  0.2055E+00  0.4279E-02
  0.5822E+01  0.1933E+00  0.4326E-02
  0.5902E+01  0.1820E+00  0.4363E-02
  0.5981E+01  0.1717E+00  0.4400E-02
  0.6061E+01  0.1622E+00  0.4447E-02
  0.6141E+01  0.1535E+00  0.4506E-02
  0.6221E+01  0.1456E+00  0.4578E-02
  0.6300E+01  0.1384E+00  0.4657E-02
  0.6380E+01  0.1319E+00  0.4735E-02
  0.6460E+01  0.1258E+00  0.4800E-02
  0.6540E+01  0.1202E+00  0.4846E-02
  0.6619E+01  0.1150E+00  0.4867E-02
  0.6699E+01  0.1100E+00  0.4864E-02
  0.6779E+01  0.1051E+00  0.4841E-02
  0.6859E+01  0.1004E+00  0.4809E-02
  0.6938E+01  0.9559E-01  0.4781E-02
  0.7018E+01  0.9075E-01  0.4768E-02
  0.7098E+01  0.8575E-01  0.4778E-02
  0.7178E+01  0.8053E-01  0.4808E-02
  0.7257E+01  0.7502E-01  0.4847E-02
  0.7337E+01  0.6915E-01  0.4871E-02
  0.7417E+01  0.6284E-01  0.4847E-02
  0.7497E+01  0.5604E-01  0.4737E-02
  0.7576E+01  0.4866E-01  0.4499E-02
  0.7656E+01  0.4061E-01  0.4092E-02
  0.7736E+01  0.3181E-01  0.3476E-02
  0.7816E+01  0.2218E-01  0.2611E-02
  0.7895E+01  0.1161E-01  0.1463E-02
  0.7975E+01  0.0000E+00  0.0000E+00
#          Reciprocal space: Rg =    2.40     , I(0) =   0.4490E+02
#     Real space: Rg =    2.41 +- 0.007  I(0) =   0.4490E+02 +-  0.9569E-01
